,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
69,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,617.1755,347.32
70,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,625.4228,350.74
71,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,471.662,369.56
72,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,593.8145,345.37
73,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,666.3543,344.57
74,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,599.5056,346.3
75,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,605.6835,344.95
76,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,617.027,346.61
77,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,3,641.9632,349.89
78,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,624.2209,346.79
79,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,626.8518,344.44
80,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,527.714,346.14
81,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,2,538.5852,349.51
82,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,685.9132,348.49
83,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,653.3159,343.64
84,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,612.848,344.31
85,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,673.0409,349.66
86,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,3,641.1232,353.04
87,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,610.8367,357.62
88,0,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,3,531.2227,354.64
89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,660.4455,341.76
90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,658.6581,341.3
91,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,507.2717,351.85
92,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,793.5362,348.43
93,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,633.9594,350.72
94,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,513.2489,353.84
95,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,738.517,345.24
96,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,661.1574,345.72
97,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,532.0254,349.52
98,0,0,0,4,0,0,0,0,3,0,0,2,3,0,0,0,4,409.6526,358.76
99,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,676.9635,348.7
100,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,517.8374,360.61
101,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,543.6176,352.83
102,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,612.487,347.44
103,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,702.1635,348.16
104,0,0,0,0,3,4,0,1,0,0,2,0,0,0,0,0,4,460.3599,354.31
105,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,674.5158,353.77
106,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,691.5505,347.43
107,3,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,4,479.806,364.79
108,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,535.7529,343.01
109,4,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,4,570.4704,368.94
110,0,0,0,0,3,0,4,0,0,2,0,0,0,0,0,0,3,462.937,357.48
111,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,670.6189,343.27
112,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,602.1897,349.29
113,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,648.3804,343.07
114,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,586.5654,350.3
115,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,2,466.4233,350.88
116,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,612.2105,345.91
117,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,486.627,349.62
118,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,664.883,341.05
119,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,493.6472,347.51
120,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,468.8404,349.89
121,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,609.9389,344.47
122,0,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,620.0414,350.36
123,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,628.3545,348.29
124,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,510.1173,346.6
125,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,3,588.7641,347.09
126,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,656.1979,343.44
127,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,524.0781,351.43
128,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,714.8135,342.94
129,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,570.2546,348.03
130,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,677.3209,351.85
