,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
69,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,533.7604,348.98
70,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,639.1159,343.67
71,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,639.1159,343.67
72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,655.8208,340.06
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,655.8208,340.06
74,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,3,494.5583,363.26
75,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,494.5583,363.26
76,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,611.754,345.85
77,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,611.754,345.85
78,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,544.8066,349.92
79,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,544.8066,349.92
80,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,2,694.2488,351.27
81,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,694.2488,351.27
82,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,3,4,519.1238,363.73
83,3,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,4,519.1238,363.73
84,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,524.2032,353.63
85,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,524.2032,353.63
86,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,662.1677,345.48
87,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,662.1677,345.48
88,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,4,698.5759,358.24
89,2,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,698.5759,358.24
90,0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,4,666.9283,354.24
91,0,0,1,0,0,2,0,3,0,0,0,0,0,0,4,0,4,666.9283,354.24
92,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,544.1287,349.25
93,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,544.1287,349.25
94,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,484.8454,350.77
95,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,484.8454,350.77
96,0,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,4,234.1593,354.07
97,0,0,0,4,3,0,0,0,0,0,0,0,0,2,1,0,4,234.1593,354.07
98,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,613.3562,359.59
99,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,3,613.3562,359.59
100,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,637.6043,345.01
101,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,637.6043,345.01
102,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,333.589,370.88
103,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,333.589,370.88
104,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,492.0714,345.94
105,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,492.0714,345.94
106,3,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,4,422.3459,366.98
107,0,0,0,0,4,0,0,0,0,0,0,0,2,4,0,3,4,422.3459,366.98
108,0,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,3,583.7159,352.44
109,0,3,0,0,0,0,2,0,0,0,0,4,0,0,0,0,3,583.7159,352.44
110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,677.2624,340.73
111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,677.2624,340.73
112,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,554.0839,357.03
113,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,3,554.0839,357.03
114,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,580.7099,357.95
115,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,580.7099,357.95
116,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,703.0072,348.57
117,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,703.0072,348.57
118,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,692.2108,350.52
119,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,692.2108,350.52
120,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,512.4159,354.78
121,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,512.4159,354.78
122,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,569.7236,344.86
123,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,569.7236,344.86
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.2553,339.92
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.2553,339.92
126,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,3,483.7263,359.96
127,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,3,483.7263,359.96
128,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,3,571.974,349.61
129,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,3,571.974,349.61
130,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,637.0066,349.19
131,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,637.0066,349.19
132,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,3,4,539.3114,355.69
133,3,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,4,539.3114,355.69
134,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,2,443.7241,351.75
135,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,2,443.7241,351.75
136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,560.7961,351.34
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,560.7961,351.34
138,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,617.1755,347.32
139,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,617.1755,347.32
140,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,625.4228,350.74
141,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,625.4228,350.74
142,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,471.662,369.56
143,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,3,471.662,369.56
144,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,593.8145,345.37
145,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,593.8145,345.37
146,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,666.3543,344.57
147,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,666.3543,344.57
148,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,599.5056,346.3
