,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
67,0,0,0,0,0,0,0,2,2,0,0,4,0,1,0,3,5,-156.6072,372.33
68,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,2,4,-220.0308,355.55
69,0,0,3,0,0,0,3,0,0,0,4,4,0,3,0,3,6,-526.2953,369.33
70,0,0,0,0,0,0,0,0,0,0,4,0,2,3,3,0,4,-211.1645,359.92
71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-419.378,350.53
72,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,-276.3974,363.42
73,0,1,0,0,1,0,0,1,0,4,0,0,4,0,2,0,6,-169.6659,359.2
74,0,0,0,0,0,0,0,0,3,4,0,4,0,2,1,1,6,-121.7043,367.51
75,2,0,0,0,3,0,0,0,0,0,0,3,1,0,2,1,6,-155.655,367.69
76,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,3,-556.2278,345.71
77,0,1,0,0,0,0,4,0,3,4,0,0,4,0,0,0,5,-185.0243,364.82
78,0,0,1,3,0,0,2,2,0,0,3,0,0,0,2,0,6,-229.9621,358.6
79,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,4,-261.8994,357.63
80,0,2,0,0,0,0,0,0,4,0,1,4,1,0,0,0,5,-226.5127,359.98
81,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,-500.5754,346.36
82,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,-386.736,350.0
83,0,1,0,0,0,0,0,1,0,2,0,2,0,4,0,0,5,-303.4487,356.78
84,0,0,0,0,0,1,0,1,0,0,0,2,2,0,3,0,5,-393.0317,360.55
85,0,0,0,0,3,2,0,4,0,0,2,2,0,0,2,0,6,-283.114,363.03
86,0,0,2,0,0,0,2,0,0,0,4,0,0,3,0,0,4,-497.6687,352.25
87,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,3,-452.7235,344.89
88,0,0,0,0,0,0,0,0,2,0,0,4,1,0,4,0,4,-141.1133,361.22
89,2,0,0,0,3,4,0,1,4,0,4,0,0,0,0,0,6,-245.1965,372.42
90,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-293.9951,370.25
91,0,2,0,0,0,3,0,0,3,0,3,0,0,0,2,0,5,-279.7523,362.9
92,0,1,0,0,0,4,2,4,0,0,0,2,0,0,0,0,5,-223.2037,365.56
93,0,0,4,1,0,1,0,0,0,0,4,0,0,0,0,0,4,-316.795,350.28
94,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,-250.7896,352.56
95,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,3,-365.0186,354.32
96,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,-368.7766,352.33
97,0,3,0,0,3,3,0,4,0,3,0,0,0,2,0,0,6,-187.5043,361.95
98,0,2,2,0,2,0,4,0,0,0,0,2,0,2,0,0,6,-412.334,360.86
99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-404.8064,348.97
100,2,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,4,-382.71,356.07
101,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,-440.0254,344.94
102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,-393.7964,348.87
103,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,3,-224.1604,351.58
104,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,-498.615,342.24
105,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,-562.7357,340.44
106,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,3,-407.3201,357.95
107,1,0,0,0,0,4,0,0,0,0,1,3,2,0,1,0,6,-170.9164,358.76
108,0,0,0,4,4,0,1,3,1,4,0,0,0,0,0,0,6,-155.8821,371.96
109,0,0,4,0,4,0,0,0,0,0,3,3,0,0,0,0,4,-499.1281,358.26
110,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,3,-386.2686,348.76
111,0,2,1,2,2,0,0,0,0,0,0,0,4,0,0,4,6,-180.0895,370.46
112,0,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,4,-186.1974,353.03
113,0,0,4,0,3,0,0,4,0,0,1,0,0,0,2,0,5,-452.3167,360.87
114,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,-467.6171,344.91
115,0,0,0,0,0,2,0,0,0,4,2,2,0,3,0,0,5,-219.6227,365.54
116,0,0,0,0,0,1,3,0,3,0,4,0,0,1,0,1,6,-169.4971,361.23
117,0,0,1,0,0,3,1,0,0,3,2,0,0,1,0,0,6,-187.3299,357.67
118,2,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,5,-412.5393,359.86
119,1,0,0,2,1,0,0,4,0,0,3,0,2,0,0,0,6,-236.2285,360.81
120,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,4,-452.1583,344.78
121,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,4,-192.3368,373.88
122,3,0,2,0,4,2,0,0,0,1,4,0,0,0,0,0,6,-122.8269,372.84
123,2,0,0,0,1,3,1,0,0,0,0,0,1,0,3,0,6,-187.1928,360.69
124,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,-173.2298,360.42
125,0,3,0,0,0,1,0,2,0,0,4,0,0,2,0,0,5,-197.4159,355.68
126,0,0,4,1,0,4,0,0,2,0,2,0,0,0,0,3,6,-246.8435,365.07
