,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
69,0,0,3,0,0,0,3,0,0,0,4,4,0,3,0,3,6,359.7503,369.33
70,0,0,0,0,0,0,0,0,0,0,4,0,2,3,3,0,4,628.2964,359.92
71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,618.7054,350.53
72,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,537.8497,363.42
73,0,1,0,0,1,0,0,1,0,4,0,0,4,0,2,0,6,494.021,359.2
74,0,0,0,0,0,0,0,0,3,4,0,4,0,2,1,1,6,351.386,367.51
75,2,0,0,0,3,0,0,0,0,0,0,3,1,0,2,1,6,328.0646,367.69
76,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,3,639.8154,345.71
77,0,1,0,0,0,0,4,0,3,4,0,0,4,0,0,0,5,398.7217,364.82
78,0,0,1,3,0,0,2,2,0,0,3,0,0,0,2,0,6,533.5942,358.6
79,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,4,567.7237,357.63
80,0,2,0,0,0,0,0,0,4,0,1,4,1,0,0,0,5,516.0227,359.98
81,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,583.3478,346.36
82,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,590.6174,350.0
83,0,1,0,0,0,0,0,1,0,2,0,2,0,4,0,0,5,554.6143,356.78
84,0,0,0,0,0,1,0,1,0,0,0,2,2,0,3,0,5,511.6964,360.55
85,0,0,0,0,3,2,0,4,0,0,2,2,0,0,2,0,6,526.029,363.03
86,0,0,2,0,0,0,2,0,0,0,4,0,0,3,0,0,4,701.7935,352.25
87,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,3,610.5105,344.89
88,0,0,0,0,0,0,0,0,2,0,0,4,1,0,4,0,4,527.7319,361.22
89,2,0,0,0,3,4,0,1,4,0,4,0,0,0,0,0,6,326.5294,372.42
90,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,496.8925,370.25
91,0,2,0,0,0,3,0,0,3,0,3,0,0,0,2,0,5,603.4085,362.9
92,0,1,0,0,0,4,2,4,0,0,0,2,0,0,0,0,5,204.7942,365.56
93,0,0,4,1,0,1,0,0,0,0,4,0,0,0,0,0,4,620.4351,350.28
94,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,424.7269,352.56
95,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,3,509.9671,354.32
96,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,497.8788,352.33
97,0,3,0,0,3,3,0,4,0,3,0,0,0,2,0,0,6,576.5521,361.95
98,0,2,2,0,2,0,4,0,0,0,0,2,0,2,0,0,6,582.6947,360.86
99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,547.925,348.97
100,2,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,4,543.6456,356.07
101,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,652.5501,344.94
102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,543.9089,348.87
103,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,3,622.7238,351.58
104,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,706.2611,342.24
105,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,674.8682,340.44
106,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,3,512.0692,357.95
107,1,0,0,0,0,4,0,0,0,0,1,3,2,0,1,0,6,382.0126,358.76
108,0,0,0,4,4,0,1,3,1,4,0,0,0,0,0,0,6,144.7878,371.96
109,0,0,4,0,4,0,0,0,0,0,3,3,0,0,0,0,4,489.8941,358.26
110,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,3,571.7979,348.76
111,0,2,1,2,2,0,0,0,0,0,0,0,4,0,0,4,6,386.3291,370.46
112,0,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,4,605.4378,353.03
113,0,0,4,0,3,0,0,4,0,0,1,0,0,0,2,0,5,568.2653,360.87
114,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,607.2171,344.91
115,0,0,0,0,0,2,0,0,0,4,2,2,0,3,0,0,5,449.4854,365.54
116,0,0,0,0,0,1,3,0,3,0,4,0,0,1,0,1,6,363.5655,361.23
117,0,0,1,0,0,3,1,0,0,3,2,0,0,1,0,0,6,525.68,357.67
118,2,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,5,610.8042,359.86
119,1,0,0,2,1,0,0,4,0,0,3,0,2,0,0,0,6,347.248,360.81
120,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,4,678.2447,344.78
121,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,4,522.8465,373.88
122,3,0,2,0,4,2,0,0,0,1,4,0,0,0,0,0,6,339.8544,372.84
123,2,0,0,0,1,3,1,0,0,0,0,0,1,0,3,0,6,440.4947,360.69
124,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,563.6086,360.42
125,0,3,0,0,0,1,0,2,0,0,4,0,0,2,0,0,5,684.8319,355.68
126,0,0,4,1,0,4,0,0,2,0,2,0,0,0,0,3,6,561.531,365.07
127,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,620.0417,350.97
128,2,2,1,0,0,0,0,0,0,0,3,0,0,2,0,2,6,589.5175,363.97
129,4,2,0,0,3,4,0,0,4,0,3,0,0,0,0,0,6,507.4886,381.81
130,0,0,1,0,0,0,0,0,4,0,0,0,1,4,1,0,5,716.3189,348.98
131,1,0,0,0,0,2,0,0,0,0,4,2,3,0,3,0,6,444.8256,362.06
132,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,680.4316,349.04
133,0,0,3,0,0,1,0,0,1,3,0,4,3,0,0,0,6,257.1631,362.35
134,0,3,0,3,0,0,0,0,1,0,0,0,0,4,0,0,4,679.8908,356.48
135,0,0,1,0,0,4,0,0,0,1,0,0,3,0,0,0,4,530.3328,348.91
136,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,533.7604,348.98
137,0,2,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,584.629,355.81
138,0,3,0,0,1,0,4,0,0,2,0,0,0,3,0,2,6,541.0307,364.81
139,4,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,5,479.4222,363.34
140,0,0,0,0,0,0,0,1,0,0,2,3,0,3,0,0,4,544.5311,355.27
141,0,0,0,3,2,0,4,2,0,0,0,0,0,3,0,3,6,331.438,371.79
142,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,639.1159,343.67
143,0,3,1,0,0,4,0,0,0,2,3,0,0,0,1,0,6,546.7487,360.37
144,4,0,0,0,0,0,0,3,0,4,2,3,0,0,3,0,6,465.6002,379.27
145,0,1,0,3,0,0,0,2,3,0,2,1,0,0,0,0,6,511.9082,361.32
146,0,0,2,0,0,1,0,0,0,2,0,3,0,0,0,0,4,536.1293,351.94
147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,655.8208,340.06
148,0,0,4,0,2,0,0,1,0,0,4,0,2,0,4,0,6,527.0081,368.88
149,0,0,2,0,2,0,0,1,0,0,4,0,1,0,0,4,6,344.8483,366.06
150,0,0,0,0,1,2,0,0,0,4,0,3,0,0,1,4,6,429.7587,371.94
151,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,571.1386,352.07
152,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,3,494.5583,363.26
153,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,3,524.1074,367.07
154,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,0,4,408.1587,360.01
155,0,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,3,558.3738,351.63
156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,550.2463,352.46
157,4,0,0,0,1,0,0,3,4,2,0,0,0,0,0,2,6,385.9352,384.55
158,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,611.754,345.85
159,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,3,536.6126,349.75
160,3,1,0,0,3,0,3,0,0,0,0,1,1,0,0,0,6,335.8133,369.51
161,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,3,589.7416,346.58
162,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,349.969,366.92
163,0,0,0,0,0,0,1,1,0,4,1,0,2,0,0,0,5,437.5096,357.34
164,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,3,143.4255,367.54
165,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,544.8066,349.92
166,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,3,5,519.0902,357.84
167,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,2,694.2488,351.27
168,0,0,0,2,0,2,0,0,3,2,0,0,0,0,3,2,6,504.4688,368.88
169,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,3,4,519.1238,363.73
170,1,0,0,1,0,0,0,0,3,4,0,0,3,0,0,2,6,287.2145,366.41
171,0,2,0,0,0,3,0,0,0,0,4,4,0,0,0,0,4,401.2533,355.02
172,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,3,427.7424,349.44
173,3,0,4,0,0,0,0,0,0,0,0,0,3,2,0,3,5,590.0745,368.38
174,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,524.2032,353.63
175,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,662.1677,345.48
176,1,0,0,0,0,3,3,4,3,0,4,0,0,0,0,0,6,246.9094,372.15
177,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,4,423.7266,369.64
178,0,0,0,1,0,3,0,0,3,0,0,4,0,4,0,1,6,373.4954,362.59
179,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,3,470.8552,354.38
180,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,683.3658,352.05
181,1,4,1,0,4,0,0,0,2,4,0,0,0,0,0,0,6,376.4914,361.12
182,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,4,698.5759,358.24
183,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,5,326.9496,363.32
184,0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,4,666.9283,354.24
185,0,1,0,0,0,0,0,0,0,1,2,1,0,0,3,0,5,633.0752,350.4
186,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,3,863.8608,347.22
187,0,0,0,0,2,0,3,0,0,0,2,0,2,0,0,4,5,482.4038,370.02
188,0,0,3,2,0,0,0,2,0,3,0,2,0,0,0,0,5,538.7913,357.8
189,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,3,510.8251,354.08
190,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,659.8429,345.47
191,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,544.1287,349.25
192,0,0,0,2,0,0,0,0,0,0,2,2,3,0,1,1,6,239.6527,367.36
193,3,0,0,0,4,1,2,0,0,0,0,3,3,0,0,0,6,180.8595,379.99
194,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,676.0942,343.48
195,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,3,455.1047,354.88
196,0,0,0,0,1,0,2,1,0,0,2,0,0,3,4,0,6,680.5542,358.79
197,1,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,4,323.3664,358.93
198,0,3,4,0,0,0,3,1,0,4,0,0,0,4,0,0,6,491.2408,367.1
199,2,0,2,0,0,0,2,0,0,3,4,0,3,0,0,0,6,371.3466,370.94
200,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,3,617.4232,355.18
201,0,0,0,0,4,0,4,0,3,0,2,0,1,0,0,0,5,400.9974,363.95
202,4,0,0,0,0,1,0,0,1,0,4,3,0,0,0,0,5,469.0846,363.5
203,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,484.8454,350.77
204,4,2,0,4,2,0,3,1,0,0,0,0,0,0,0,0,6,300.0097,394.27
205,0,0,2,0,0,2,4,0,0,1,0,0,0,0,0,0,4,508.1051,355.15
206,4,0,0,2,2,1,0,0,0,0,0,1,0,3,0,0,6,507.4645,372.09
207,0,0,0,0,2,0,0,1,0,0,1,0,0,0,3,1,5,530.6883,354.97
208,0,2,0,2,0,2,1,0,0,1,0,1,0,0,0,0,6,541.2155,353.14
209,0,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,4,234.1593,354.07
210,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,3,585.0229,359.68
211,0,0,1,0,3,4,0,0,0,0,4,0,2,0,2,0,6,503.7736,360.26
212,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,613.3562,359.59
213,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,637.6043,345.01
214,0,0,0,0,1,0,0,0,0,0,4,4,1,1,0,3,6,222.613,358.35
215,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,333.589,370.88
216,2,0,0,3,0,0,3,0,3,0,2,0,0,0,0,0,5,382.6496,369.46
217,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,492.0714,345.94
218,3,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,4,422.3459,366.98
219,0,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,3,583.7159,352.44
220,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,677.2624,340.73
221,0,2,0,0,0,1,0,0,0,0,1,3,2,4,0,0,6,474.19,363.04
222,0,4,1,4,1,0,0,0,3,0,0,0,0,4,0,0,6,541.9489,360.47
223,0,0,0,0,0,2,0,0,4,0,4,0,3,0,1,0,5,482.3917,361.04
224,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,3,416.6274,357.21
225,0,0,1,0,0,0,1,0,2,3,0,0,2,0,0,0,5,539.8375,352.27
226,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,541.7483,364.74
227,0,2,0,0,0,3,0,0,3,0,0,0,1,4,0,0,5,649.9151,357.04
228,3,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,4,496.8117,356.42
229,0,0,3,2,0,0,2,0,0,4,4,0,0,0,0,0,5,338.3053,371.23
230,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,3,760.1294,352.74
231,0,0,0,1,2,0,0,0,4,0,0,0,3,0,0,3,5,344.6375,367.04
232,0,0,2,0,0,0,0,1,2,3,0,3,0,3,0,0,6,560.0115,361.52
233,2,4,0,0,1,0,0,2,0,0,0,0,1,0,0,1,6,426.6952,362.4
234,0,0,0,0,0,0,0,1,1,3,3,4,4,0,0,0,6,186.6966,374.75
235,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,3,400.5755,358.59
236,3,0,4,2,0,0,0,2,4,4,0,0,0,0,0,0,6,279.9713,383.99
237,1,0,0,0,2,0,0,0,0,0,0,0,4,4,0,2,5,240.3624,371.03
238,0,0,0,0,0,0,2,2,2,0,0,4,0,0,4,1,6,397.1547,372.88
239,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,509.8338,351.1
240,0,2,2,0,0,4,0,0,0,1,0,0,0,2,0,0,5,737.5257,350.35
241,0,1,0,2,0,0,4,0,3,0,0,0,0,0,0,0,4,472.2021,356.78
242,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,554.0839,357.03
243,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,3,558.7834,353.52
244,4,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,4,540.7045,361.87
245,0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,3,274.187,363.18
246,0,0,0,3,4,0,1,0,0,0,0,3,0,0,0,0,4,346.513,367.08
247,0,0,2,0,0,0,0,2,3,0,0,0,0,3,0,2,5,614.6969,366.35
248,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,580.7099,357.95
249,1,1,0,0,0,0,0,1,0,0,2,0,4,0,4,0,6,504.8319,359.09
250,0,0,0,0,0,0,0,2,0,2,1,3,0,4,3,0,6,557.9824,367.91
251,0,3,0,0,0,0,0,2,1,0,0,2,2,0,0,0,5,453.588,363.21
252,0,0,0,0,0,1,4,2,0,4,2,0,0,1,0,0,6,422.0367,371.26
253,0,0,0,0,0,0,4,0,0,0,1,0,4,4,0,0,4,521.9329,356.44
254,3,4,0,3,0,1,0,0,0,4,0,0,0,0,4,0,6,595.284,372.18
255,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,421.797,356.73
256,3,0,0,0,4,4,0,0,4,0,0,4,0,0,4,0,6,301.2768,379.45
257,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,4,4,415.2486,370.23
258,4,0,0,3,0,0,0,0,0,3,0,2,2,1,0,0,6,407.5253,370.81
259,0,4,0,0,0,0,3,0,1,0,0,0,0,2,0,0,4,702.8791,355.81
260,4,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,521.6023,375.13
261,1,0,3,0,0,1,0,0,0,0,4,0,3,0,1,0,6,461.3907,351.9
262,0,0,4,0,3,0,0,0,4,4,0,0,0,4,0,3,6,525.0375,373.73
263,4,0,0,0,3,0,2,2,0,0,0,0,0,1,3,0,6,564.2744,370.91
264,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,5,341.9287,367.94
265,0,2,0,1,0,0,3,0,0,0,1,3,4,0,0,0,6,277.8019,364.47
266,3,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,608.1973,354.36
267,2,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,6,438.6535,366.63
268,0,1,0,3,0,0,0,4,0,0,0,3,1,0,2,0,6,454.5701,361.32
269,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,703.0072,348.57
270,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,692.2108,350.52
271,0,0,2,1,4,0,0,0,0,0,0,2,0,0,0,0,4,441.7875,356.62
272,0,1,0,0,3,0,0,0,0,2,1,0,0,4,0,0,5,536.251,352.32
273,0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,3,5,555.907,357.21
274,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,650.4901,350.63
275,0,0,4,0,0,0,0,0,3,0,0,0,0,1,1,3,5,636.482,358.74
276,0,0,0,0,0,0,3,1,0,2,4,4,0,0,0,0,5,287.6246,364.18
277,0,3,0,4,0,0,0,2,0,0,4,0,0,0,0,0,4,590.2968,357.85
278,0,0,1,3,3,0,0,0,0,3,0,4,0,0,0,1,6,261.4567,366.36
279,0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,3,513.3114,356.53
280,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,3,576.9498,349.19
281,0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,2,4,157.2794,371.76
282,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,3,585.4808,348.52
283,0,3,4,3,0,0,0,0,0,0,0,0,3,4,3,0,6,607.6332,364.93
284,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,512.4159,354.78
285,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,573.3179,345.27
286,0,1,0,2,0,0,0,4,3,3,0,0,0,0,0,0,5,391.6107,369.43
287,0,3,0,3,0,1,4,0,0,0,0,2,2,0,0,0,6,302.3348,369.5
288,0,0,4,0,4,0,3,0,4,1,0,0,0,0,0,0,5,531.8324,360.04
289,0,0,0,4,3,0,0,4,0,0,1,0,0,3,0,2,6,218.8467,374.14
290,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,569.7236,344.86
291,3,0,0,0,3,0,0,0,3,4,0,2,3,0,0,0,6,269.1201,376.82
292,0,2,3,0,0,0,3,1,0,0,0,0,2,0,0,1,6,456.6305,354.17
293,0,1,0,0,1,0,0,2,0,0,0,4,3,0,0,1,6,120.6845,233.32
294,1,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0,6,220.3697,376.23
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.2553,339.92
296,0,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,3,583.4542,355.73
297,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,3,260.1998,363.54
298,3,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,4,304.0127,372.16
299,0,0,0,0,0,4,0,0,0,0,0,1,4,0,3,1,5,309.4783,365.2
300,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,3,483.7263,359.96
301,0,0,0,0,4,0,0,4,0,1,0,3,0,0,0,0,4,434.4068,358.93
302,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,644.9021,350.88
303,1,0,1,0,4,0,3,0,0,0,0,0,3,0,1,0,6,275.4399,357.46
304,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,3,571.974,349.61
305,0,3,2,0,0,0,1,0,0,3,0,0,0,0,3,3,6,721.5753,362.69
306,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,637.0066,349.19
