['Fl', 'H', 'Br', 'Br', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  289.93
['Fl', 'H', 'Br', 'I', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  253.28
['Fl', 'H', 'Br', 'I', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  204.45
['Fl', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  295.02
['Fl', 'H', 'Br', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  271.33
['Fl', 'H', 'Br', 'H', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  297.23
['Fl', 'H', 'Br', 'H', 'H', 'I', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  289.5
['Fl', 'H', 'Br', 'H', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  266.67
['Fl', 'H', 'Br', 'H', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  243.03
['Fl', 'H', 'Br', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  250.71
['Fl', 'H', 'I', 'Br', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  285.06
['Fl', 'H', 'I', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  298.72
['Fl', 'H', 'I', 'I', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  244.42
['Fl', 'H', 'I', 'I', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  196.02
['Fl', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  288.66
['Fl', 'H', 'I', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  263.78
['Fl', 'H', 'I', 'H', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  291.87
['Fl', 'H', 'I', 'H', 'H', 'I', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  284.54
['Fl', 'H', 'I', 'H', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  260.9
['Fl', 'H', 'I', 'H', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  236.33
['Fl', 'H', 'I', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  247.03
['Fl', 'H', 'H', 'Fl', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  267.25
['Fl', 'H', 'H', 'Fl', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  284.72
['Fl', 'H', 'H', 'Fl', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  277.94
['Fl', 'H', 'H', 'Fl', 'H', 'I', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  276.06
['Fl', 'H', 'H', 'Fl', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  254.77
['Fl', 'H', 'H', 'Fl', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  233.22
['Fl', 'H', 'H', 'Fl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  227.07
['Fl', 'H', 'H', 'Cl', 'Cl', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  287.34
['Fl', 'H', 'H', 'Cl', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  269.18
['Fl', 'H', 'H', 'Cl', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  274.43
['Fl', 'H', 'H', 'Cl', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  228.53
['Fl', 'H', 'H', 'Cl', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  296.46
['Fl', 'H', 'H', 'Cl', 'H', 'Br', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  291.04
['Fl', 'H', 'H', 'Cl', 'H', 'Br', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  268.91
['Fl', 'H', 'H', 'Cl', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  246.9
['Fl', 'H', 'H', 'Cl', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  233.05
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'Fl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  277.29
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  235.98
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  213.92
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  191.86
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  286.39
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  294.85
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H']  296.95
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H']  284.07
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'Br', 'H', 'H', 'H', 'H']  296.59
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H', 'H']  262.51
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'Cl', 'H', 'H', 'H']  268.87
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'Br', 'H', 'H', 'H']  256.02
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  182.98
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'Br', 'H']  290.34
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H']  288.93
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'Fl']  294.73
['Fl', 'H', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'Cl']  294.08
['Fl', 'H', 'H', 'Cl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  283.71
['Fl', 'H', 'H', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'I', 'H', 'H', 'H']  295.1
['Fl', 'H', 'H', 'Br', 'Cl', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  272.9
['Fl', 'H', 'H', 'Br', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  254.87
['Fl', 'H', 'H', 'Br', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  260.23
['Fl', 'H', 'H', 'Br', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  215.11
['Fl', 'H', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  285.01
['Fl', 'H', 'H', 'Br', 'H', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  294.33
['Fl', 'H', 'H', 'Br', 'H', 'Br', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  276.57
