['H', 'H', 'H', 'I', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  289.27
['H', 'H', 'H', 'I', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  291.95
['H', 'H', 'H', 'I', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  225.4
['H', 'H', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  278.25
['H', 'H', 'H', 'I', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  289.83
['H', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'I', 'H', 'H', 'H']  278.25
['H', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H', 'Fl']  237.08
['H', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H', 'Cl']  239.21
['H', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'Fl']  278.49
['H', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'Cl']  280.93
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'Fl']  291.78
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'Cl']  293.8
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'Br', 'H', 'I', 'H', 'H', 'H', 'Fl']  293.16
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'Br', 'H', 'I', 'H', 'H', 'H', 'Cl']  295.51
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'I', 'H', 'I', 'H', 'H', 'H']  289.83
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'Fl']  277.4
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'Cl']  279.45
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'I', 'H', 'H', 'H', 'Fl']  282.41
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'I', 'H', 'H', 'H', 'Cl']  284.71
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'I', 'H', 'H', 'Fl']  290.43
['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'I', 'H', 'H', 'Cl']  292.53
